Christina_de_Valognes,Sir_Thomas_Maule
"Sir_John_Gladstone,_1st_Baronet",William_Ewart_Gladstone
Mahathir_Mohamad,Mukhriz_Mahathir
Gordon_Gray_(politician),Burton_C._Gray
Eugene_S._Pulliam,Myrta_Pulliam
Oodgeroo_Noonuccal,Denis_Walker_(activist)
Saddam_Hussein,Uday_Hussein
Benito_Alazraki,Carlos_Alazraki
Ruby_Dandridge,Dorothy_Dandridge
Frances_Adeline_Seward,Frederick_W._Seward
Derek_Royle,Amanda_Royle
Isabel_Preysler,Chabeli_Iglesias
Luis_Cabrera_Lobato,Malú_Block
"William_Cavendish,_5th_Duke_of_Devonshire","Harriet_Leveson-Gower,_Countess_Granville"
Marcin_Zborowski,Krzysztof_Zborowski
Sami_Frashëri,Ali_Sami_Yen
Mary_Ball_Washington,John_Augustine_Washington
Angus_Maude,Francis_Maude
George_W._Bush,Barbara_Bush_(born_1981)
"John_Savage,_2nd_Earl_Rivers","Thomas_Savage,_3rd_Earl_Rivers"
William_F._Frye,E._Max_Frye
Ed_Edmondson_(politician),James_E._Edmondson
Richard_Treat,Robert_Treat
Douglas_Abbott,Anthony_Abbott
Mildred_Gale,Augustine_Washington
Lawrence_Saint,Rachel_Saint
Til_Schweiger,Lilli_Schweiger
Jean_Kennedy_Smith,Stephen_Edward_Smith
Gayle_Cook,Carl_Cook
Ahmed_Khadr,Zaynab_Khadr
Rafic_Hariri,Fahd_Hariri
Otto_Wille_Kuusinen,Hertta_Kuusinen
Manivannan,Raghuvannan
Dorothy_Howell_Rodham,Hugh_Rodham
Franklin_S._Billings,"Franklin_S._Billings,_Jr."
Frank_Wilkes,Helen_Buckingham
John_Adams,Charles_Adams_(1770–1800)
Uma_Nehru,Shyam_Kumari_Khan
Louise_Armstrong,Noah_Hawley
"Natalia_Grosvenor,_Duchess_of_Westminster","Hugh_Grosvenor,_7th_Duke_of_Westminster"
Philip_Lindsley,Adrian_Van_Sinderen_Lindsley
Ahmed_Khadr,Omar_Khadr
Jim_McKay,Sean_McManus_(television_executive)
Louie_B._Nunn,Steve_Nunn
John_Adams,Thomas_Boylston_Adams_(1772–1832)
Jerzy_Stuhr,Maciej_Stuhr
Hannah_Van_Buren,John_Van_Buren
Liang_Sicheng,Liang_Congjie
Jackie_Aprile_Sr.,Jackie_Aprile_Jr.
Nasira_Iqbal,Waleed_Iqbal
Camille_Chamoun,Dory_Chamoun
Fritz_Windhorst,Stephen_J._Windhorst
Hayao_Miyazaki,Gorō_Miyazaki
Millard_Fillmore,Mary_Abigail_Fillmore
Edgardo_Vega_Yunqué,Tim_Vega
David_Opatoshu,Danny_Opatoshu
Erling_Broch,Lisbeth_Broch
Kaviyoor_Sivaprasad,Sidhartha_Siva
John_D._Rockefeller_Jr.,Winthrop_Rockefeller
Garry_Weston,Guy_Weston
Alistair_Fraser,Alistair_Fraser_(parliamentary_official)
William_Bernard_Ziff_Sr.,William_Bernard_Ziff_Jr.
Gert_Boyle,Timothy_Boyle
Anna_Roosevelt_Halsted,Curtis_Roosevelt
Sidney_Myer,Marigold_Southey
Eddie_Stobart,William_Stobart
Bill_Speidel,Julie_Speidel
Leonard_Isitt_(minister),Leonard_Monk_Isitt
Strom_Thurmond,Essie_Mae_Washington-Williams
Anna_Maria_Villani_Scicolone,Alessandra_Mussolini
Sheikh_Liaquat_Hussain,Aamir_Liaquat
Fritz_Leiber_(actor),Fritz_Leiber
Mick_Jagger,Jade_Jagger
Manuel_Clouthier,Manuel_Clouthier_Carrillo
Josephus,Flavius_Hyrcanus
Blanche_d'Alpuget,Bob_Hawke
Guillermo_León_Valencia,Pedro_Felipe_Valencia_López
Whiting_Griswold,Freeman_Clark_Griswold
Thomas_Christie_(Canadian_politician),"Thomas_Christie,_Jr."
Brian_Rix,Louisa_Rix
Phil_Knight,Travis_Knight_(animator)
"John_P._Poe,_Sr.",Art_Poe
Darth_Vader,Luke_Skywalker
William_Rice_(Methodist_minister),Charles_Francis_Rice
Walter_Gretzky,Wayne_Gretzky
John_Parke_Custis,Eleanor_Parke_Custis_Lewis
Ruth_Graham,Anne_Graham_Lotz
David_Howell_(jurist),Jeremiah_B._Howell
Eugenio_Derbez,Vadhir_Derbez
Kathryn_Crosby,Mary_Crosby
Howard_Shannon,Dave_Shannon
Moran_family,Mark_Moran_(criminal)
Maurice_Costello,Dolores_Costello
Frank_Griffiths,Arthur_Griffiths_(businessman)
Alfred_Roberts,Margaret_Thatcher
Marguerite_de_Witt-Schlumberger,Jean_Schlumberger
Salim_Khan,Arbaaz_Khan_(Indian_actor)
Charles_Frederick_Williams,Fred_Williams_(journalist)
Rosalynn_Carter,Jack_Carter_(politician)
Raquel_Welch,Tahnee_Welch
Surinder_Singh_Kairon,Adesh_Partap_Singh_Kairon
Yasuhiro_Nakasone,Hirofumi_Nakasone
Dick_Clark,Duane_Clark
Walter_Sisulu,Max_Sisulu
Olive_Osmond,Tom_Osmond
Erskine_Hamilton_Childers,Erskine_Barton_Childers
Richard_H._G._Bonnycastle,Richard_A._N._Bonnycastle
Zhou_Xinfang,Michael_Chow_(restaurateur)
William_Markham_(bishop),George_Markham
Atikah_bint_Murrah,Muttalib_ibn_Abd_Manaf
Tessa_Kennedy,Cassian_Elwes
Leslie_Mann,Iris_Apatow
Lili_Damita,Sean_Flynn_(photojournalist)
Jennifer_Kendal,Sanjana_Kapoor
Abraham_Lincoln,Robert_Todd_Lincoln
William_Mitchell_(politician),Walter_George_Mitchell
Sapru_(actor),Tej_Sapru
James_Brolin,Josh_Brolin
Ashok_Kumar_Jain,Vineet_Jain
Daniel_Kellogg_(settler),Samuel_Kellogg
Harold_Nicolson,Benedict_Nicolson
"Thomas_Fremantle,_2nd_Baron_Cottesloe","Thomas_Fremantle,_3rd_Baron_Cottesloe"
Sujarinee_Vivacharawongse,Sirivannavari_Nariratana
Goldie_Hawn,Kate_Hudson
Stanley_Ho,Josie_Ho
Aaron_Spelling,Tori_Spelling
Agnetha_Fältskog,Linda_Ulvaeus
Josef_Korbel,Madeleine_Albright
David_Cassidy,Katie_Cassidy
L._Frank_Baum,Harry_Neal_Baum
"Nicholas_Brown,_Jr.",Nicholas_Brown_III
Rajinikanth,Soundarya_Rajinikanth
Mayer_Amschel_Rothschild,Amschel_Mayer_Rothschild
George_Clint,Scipio_Clint
Jock_Mahoney,Sally_Field
Robert_Warren_Miller,Alexandra_von_Fürstenberg
Weston_Adams_(diplomat),Wallace_Adams-Riley
Johanna_Quandt,Susanne_Klatten
Marian_Shields_Robinson,Michelle_Obama
Ole_Nordhaug,Halvor_Nordhaug
Mark_Antony_(Rome_character),Cleopatra_Selene_II
Robert_Warren_Miller,Pia_Getty
Abu_Aiah_Koroma,Sia_Koroma
Pir_Syed_Mohammad_Yaqoob_Shah,Pir_Syed_Muhammad_Binyamin_Rizvi
Paul_Lange_(musician),Hans_Lange
William_A._Clark,Charles_W._Clark_(businessman)
Rodolfo_Hoyos_Jr.,Terri_Hoyos
Catherine_Dickens,Kate_Perugini
Jinggoy_Estrada,Julian_Estrada
Hacı_Ömer_Sabancı,Sakıp_Sabancı
Nabi_Bux_Khan_Bhutto_(nawab),Mumtaz_Bhutto
Haho_of_Maui,Palena_of_Maui
Richard_Nixon,Julie_Nixon_Eisenhower
Abiah_Darby,Abraham_Darby_III
Dee_Wallace,Gabrielle_Stone
Habib_Ali_Kwitang,Muhammad
Junichirō_Koizumi,Kotaro_Koizumi
Zhang_Hanzhi,Hung_Huang
Mary_Todd_Lincoln,Edward_Baker_Lincoln
William_J._Jefferson,Jalila_Jefferson-Bullock
Shatrughna,Subahu
Herman_J._Mankiewicz,Don_Mankiewicz
Carl_Mayer_von_Rothschild,Mayer_Carl_von_Rothschild
Christian_Bohr,Harald_Bohr
Jocelyn_Hambro,James_Hambro
William_Gannaway_Brownlow,John_Bell_(Tennessee_politician)
Polly_Perkins,Tim_Arnold_(musician)
Thabo_Mbeki,Monwabisi_Kwanda_Mbeki
"Raymond_Grant,_11th_Baron_de_Longueuil","Michael_Grant,_12th_Baron_de_Longueuil"
Vic_Morrow,Jennifer_Jason_Leigh
James_Nyamweya,George_Nyamweya
Nathan_Francis_Mossell,Mary_Mossell_Griffin
"Sir_Allan_Maclean,_3rd_Baronet","Sir_John_Maclean,_4th_Baronet"
Jacob_De_la_Gardie,Axel_Julius_De_la_Gardie
Jerry_Orbach,Chris_Orbach
Edward_Hyde_(1667–1712),Anne_Hyde
Anna_Wing,Mark_Wing-Davey
George_Rodger,Peter_Rodger
Frank_Abbandando,Frank_Abbandando_Jr.
Joseph_Powell_Williams,Rowland_Powell-Williams
Ivan_Vakarchuk,Svyatoslav_Vakarchuk
Felice_Colombo,Nicola_Colombo
Christopher_Miner_Spencer,Percival_H._Spencer
Ethel_Kennedy,Christopher_G._Kennedy
Bing_Crosby,Harry_Crosby_(businessman)
Barry_Otto,Gracie_Otto
Ne_Win,Sandar_Win
Rodrigo_Duterte,Paolo_Duterte
Bruce_Karatz,Matthew_Karatz
Charles_Fleetford_Sise,Charles_Fleetford_Sise_Jr.
Ismail_Sulemanji_Khatri,Mohammed_Yusuf_Khatri
John_Wayles,Sally_Hemings
Michael_Douglas,Cameron_Douglas
Chua_Soi_Lek,Chua_Tee_Yong
Krzysztof_Mikołaj_%22the_Thunderbolt%22_Radziwiłł,Krzysztof_Radziwiłł
Tom_Ruegger,Nathan_Ruegger
Arthur_Waugh,Evelyn_Waugh
James_McBride_(politician),George_W._McBride
Tashlultum,Ilaba'is-takal
James_Alfred_Ernest_Corea,Charles_Alfred_Ernest_Corea
Bernard_Cowen,Barry_Cowen
Jorge_Guillén,Claudio_Guillén
Benjamin_Guggenheim,Peggy_Guggenheim
Shamshi-Adad_V,Adad-nirari_III
Angelo_Rizzoli,Andrea_Rizzoli
Chuck_Bass,Blair_Waldorf
Charles_Dickens,Mary_Dickens
"Frederick_Stanley,_16th_Earl_of_Derby","Edward_Stanley,_17th_Earl_of_Derby"
Charles_Rothschild,"Victor_Rothschild,_3rd_Baron_Rothschild"
George_Huntington_Hartford,John_Augustine_Hartford
Lee_Phillip_Bell,Lauralee_Bell
William_P._Fessenden,Samuel_Fessenden
Sarojini_Naidu,Padmaja_Naidu
Han_van_Meegeren,Jacques_van_Meegeren
William_D._Orthwein,Percy_Orthwein
Miahuaxihuitl,Moctezuma_I
Anne_Hathaway_(Shakespeare's_wife),Hamnet_Shakespeare
Tom_Burke_(Australian_politician),Brian_Burke_(Australian_politician)
John_Robert_Godley,"Arthur_Godley,_1st_Baron_Kilbracken"
Mochtar_Kusumaatmadja,Armida_Alisjahbana
Adi_Godrej,Pirojsha_Adi_Godrej
Shaddam_IV,Wensicia
John_Gideon_Searle,Daniel_C._Searle
Gervase_de_Cornhill,Reginald_de_Cornhill
Alberto_Fujimori,Keiko_Fujimori
Theodore_Roosevelt,Archibald_Roosevelt
Johnny_Ball,Zoë_Ball
C._H._%22Sammy%22_Downs,Jam_Downs
"Charles_Morgan,_1st_Baron_Tredegar","Godfrey_Morgan,_1st_Viscount_Tredegar"
Henry_S._Thibodaux,Bannon_Goforth_Thibodeaux
Elaine_Darling,Vicky_Darling
Lorenza_Ramírez_de_Arellano,Rosario_Ferré
Christopher_O'Neill,"Prince_Nicolas,_Duke_of_Ångermanland"
Kay_Hammond,John_Standing
Jean_Pirro,André_Pirro
João_Soares_de_Albergaria,João_Soares_de_Sousa
Akbar_Hashemi_Rafsanjani,Yasser_Hashemi_Rafsanjani
Troels_Holch_Povlsen,Anders_Holch_Povlsen
Walter_Cronkite,Kathy_Cronkite
Sharmila_Tagore,Saif_Ali_Khan
Elizabeth_Horman,Charles_Horman
Dorothea_Jordan,"Elizabeth_Hay,_Countess_of_Erroll"
John_Wesley_Hanes_I,Richard_Thurmond_Chatham
Mildred_Cooke,"William_Cecil,_1st_Baron_Burghley"
Charles_Mackellar,Dorothea_Mackellar
Geraldine_Page,Angelica_Page
Harris_Leuke_Ratwatte,Anuruddha_Ratwatte
Wallace_Rider_Farrington,Joseph_Rider_Farrington
Linda_Lee_Cadwell,Brandon_Lee
Charles_Theodore_Russell,William_Russell_(governor)
Harold_Wilson,Robin_Wilson_(mathematician)
Juan_Antonio_Samaranch,Juan_Antonio_Samaranch_Salisachs
Joseph_P._Kennedy_II,Joseph_P._Kennedy_III
Louis_Fles,Barthold_Fles
Ted_Kennedy,Kara_Kennedy
"Edward_Smith-Stanley,_14th_Earl_of_Derby","Edward_Stanley,_15th_Earl_of_Derby"
Balaji_Baji_Rao,Madhavrao_I
Charles_Kushner,Joshua_Kushner
Katherine_Kessey,Jamie_Treacher
Washington_Duke,James_Buchanan_Duke
Lucas_Sullivant,William_Starling_Sullivant
Derwent_Coleridge,Ernest_Hartley_Coleridge
Vladimir_Nak,Igor_Nak
Upendrakishore_Ray_Chowdhury,Sukumar_Ray
William_Woodward_Sr.,William_Woodward_Jr.
Laurent-Désiré_Kabila,Joseph_Kabila
Eric_Tsang,Bowie_Tsang
Laurent-Désiré_Kabila,Zoé_Kabila
Jacobo_Timerman,Héctor_Timerman
Francisco_de_Paula_Urrutia_Ordóñez,Francisco_José_Urrutia_Olano
Hakim_Ali_Zardari,Faryal_Talpur
Clive_James,Claerwen_James
"Juan_Tellez-Girón_y_Enriquez_de_Ribera,_4th_Duke_of_Osuna","Gaspar_Téllez-Girón,_5th_Duke_de_Osuna"
Frances_Shand_Kydd,"Jane_Fellowes,_Baroness_Fellowes"
Rupert_Hill,Jenny_Platt
James_Argue,James_O._Argue
David_Crombie,Jonathan_Crombie
"Violet_Herbert,_Countess_of_Powis","Mervyn_Herbert,_Viscount_Clive"
Pat_Galvin,Pat_Galvin_(public_servant)
Zhao_Hongyin,Emperor_Taizu_of_Song
Franklin_W._Olin,John_M._Olin
Hans_Kristian_Seip,Jens_Arup_Seip
Marri_Chenna_Reddy,Marri_Shashidhar_Reddy
Willie_Robertson,Sadie_Robertson
Josiah_Ogden_Hoffman,Ogden_Hoffman
Henry_Fonda,Peter_Fonda
Alanson_B._Houghton,Amory_Houghton
Kathleen_Garman,Theodore_Garman
Henry_Lascelles_(1690–1753),Daniel_Lascelles_(1714–1784)
Tom_Gries,Jon_Gries
Odessa_Grady_Clay,Rahman_Ali
Marilyn_McAdams_Sibley,David_Sibley_(politician)
Mitch_Leery,Dawson_Leery
Faiz_Ahmad_Faiz,Salima_Hashmi
John_Betjeman,Candida_Lycett_Green
Edward_Hutchinson_(captain),Susanna_Cole
Marie_Breen,Jeannette_Patrick
Robert_Viharo,Will_Viharo
Mary_Jo_Deschanel,Emily_Deschanel
Paul_Crouch_Jr.,Brittany_Koper
Alfred_L._Kroeber,Karl_Kroeber
Edith_Ewing_Bouvier_Beale,"Phelan_Beale,_Jr."
Marietta_Peabody_Tree,Frances_FitzGerald_(journalist)
Joanna_Moore,Griffin_O'Neal
Kovambo_Nujoma,Utoni_Nujoma
Walter_Chrysler,Walter_P._Chrysler_Jr.
Betty_Ford,John_Gardner_Ford
Dénes_Pázmándy_(1781–1854),Dénes_Pázmándy_(1816–1856)
Robert_Williams_Daniel,Robert_Daniel
Hrant_Dink,Arat_Dink
Eduardo_Frei_Montalva,Carmen_Frei
Kalu_Pande,Bamsa_Raj_Pandey
Atia_of_the_Julii,Gaius_Octavian_(Rome_character)
Judy_Garland,Lorna_Luft
Raj_Kapoor,Randhir_Kapoor
Ignacio_López_Tarso,Juan_Ignacio_Aranda
Junius_Brutus_Booth,John_Wilkes_Booth
Christian_Troy,Matt_McNamara
Per_Lillo-Stenberg,Lars_Lillo-Stenberg
José_Rafael_Abinader,Luis_Abinader
George_Herbert_Walker,Dorothy_Walker_Bush
Lawrence_John_Cannon,Lucien_Cannon
Fos_Williams,Jenny_Williams_(sportsperson)
Bram_Goldsmith,Russell_Goldsmith
"Robert_Sidney,_2nd_Earl_of_Leicester","Henry_Sydney,_1st_Earl_of_Romney"
Wan_Azizah_Wan_Ismail,Nurul_Izzah_Anwar
George_Hunter_(mayor),"George_Hunter_(politician,_born_1821)"
Rommel_Padilla,RJ_Padilla
Andree_Layton_Roaf,Willie_Roaf
Doug_Ross,Carol_Hathaway
Amitabh_Bachchan,Abhishek_Bachchan
Carl_Shoup,Paul_Shoup
Arthur_Eve,Leecia_Eve
Theodore_Roosevelt,Theodore_Roosevelt_Jr.
Mary_French_Rockefeller,Laurance_Rockefeller_Jr.
Domenico_Colombo,Bartholomew_Columbus
Helen_Gamboa,Ciara_Sotto
William_A._Atwood,Edwin_W._Atwood
John_Vernon,Nan_Vernon
John_Huston,Danny_Huston
Qazi_Motahar_Hossain,Fahmida_Khatun
Stephen_Friedman_(PFIAB),David_Benioff
"Walter_E._Hussman,_Sr.","Walter_E._Hussman,_Jr."
Dhritarashtra,Duryodhana
Ricardo_C._Puno,Dong_Puno
Barbara_Euphan_Todd,Ursula_Graham_Bower
Keith_Mars,Veronica_Mars_(character)
Katja_Riemann,Paula_Riemann
Sydney_Samuelson,Peter_Samuelson
"Summerfield_Johnston,_Jr.",Summerfield_Johnston_III
Kenny_Blatchford,Howard_Peter_Blatchford
Hōjō_Tokimune,Hōjō_Sadatoki
Kwok_Tak-Seng,Raymond_Kwok
R._James_Long,Justin_Long
Rajendra_Narayan_Singh_Deo,Ananga_Udaya_Singh_Deo
Bo_Xilai,Bo_Guagua
Michael_Heseltine,Annabel_Heseltine
Leonard_Knight_Elmhirst,Whitney_Straight
James_Corrigan,Lloyd_Corrigan
Vilma_Santos,Luis_Manzano
Yemişçi_Hasan_Pasha,Sultanzade_Mehmed_Pasha
Heinz_Arndt,Bettina_Arndt
Margaret_Drabble,Joe_Swift
Ashikaga_Yoshimitsu,Ashikaga_Yoshinori
Anna_Maria_Marten,Gibran_Marten
Bhabananda_Deka,Arnab_Jan_Deka
William_Rockefeller,Geraldine_Rockefeller_Dodge
Maggie_Smith,Toby_Stephens
Oscar_Wilde,Vyvyan_Holland
Mick_Jagger,Georgia_May_Jagger
Viviane_Wade,Karim_Wade
Martin_Garbus,Liz_Garbus
Hugo_Black,Sterling_Foster_Black
Doris_Boyd,Guy_Boyd_(sculptor)
"Frances_Anne_Spencer-Churchill,_Duchess_of_Marlborough","George_Spencer-Churchill,_8th_Duke_of_Marlborough"
William_Gage_(15th-century_landowner),John_Gage_(Tudor_politician)
Iris_Fontbona,Jean-Paul_Luksic_Fontbona
Eliphalet_Lockwood_(deacon),"John_Betts,_Jr."
Fabio_Ochoa_Restrepo,Fabio_Ochoa_Vásquez
Shashi_Kapoor,Sanjana_Kapoor
Subhas_Chandra_Bose,Anita_Bose_Pfaff
Joseph_Chamberlain,Austen_Chamberlain
Richard_Pankhurst,Adela_Pankhurst
Jack_Hodgins_(Bones),Angela_Montenegro
Khair_Bakhsh_Marri,Balach_Marri
Eric_Roberts,Emma_Roberts
Richard_Mell,Patricia_Blagojevich
Tarzan,Korak_(character)
John_Paul_Getty_Jr.,Mark_Getty
Julia_Nickson-Soul,China_Soul
Leonard_Lewisohn_(philanthropist),Irene_Lewisohn
Alfred_Saunders,Sarah_Page_(prohibitionist)
Dorothy_Buffum_Chandler,Otis_Chandler
Ahmed_Seif_El-Islam,Alaa_Abd_El-Fattah
Paul_Mellon,Timothy_Mellon
John_F._Kennedy,Caroline_Kennedy
